session_id,source_sheet,volume_m,normalized_blocks,normalization_method,status
RKF-10-12-01,Treinos_10_12,3600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-02,Treinos_10_12,3400,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-03,Treinos_10_12,3800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-04,Treinos_10_12,3200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-05,Treinos_10_12,3600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-06,Treinos_10_12,4000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-07,Treinos_10_12,3500,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-08,Treinos_10_12,3300,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-09,Treinos_10_12,3600,3,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-10,Treinos_10_12,3500,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-11,Treinos_10_12,3800,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-12,Treinos_10_12,4100,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-13,Treinos_10_12,3700,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-14,Treinos_10_12,3200,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-15,Treinos_10_12,3700,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-16,Treinos_10_12,3600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-17,Treinos_10_12,3900,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-18,Treinos_10_12,3300,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-19,Treinos_10_12,4200,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-20,Treinos_10_12,4000,9,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-21,Treinos_10_12,3400,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-22,Treinos_10_12,3600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-23,Treinos_10_12,3800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-24,Treinos_10_12,3600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-25,Treinos_10_12,4000,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-26,Treinos_10_12,3400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-27,Treinos_10_12,3600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-28,Treinos_10_12,3500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-29,Treinos_10_12,4000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-30,Treinos_10_12,3800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-31,Treinos_10_12,3400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-32,Treinos_10_12,4200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-33,Treinos_10_12,3600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-34,Treinos_10_12,3800,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-35,Treinos_10_12,4000,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-36,Treinos_10_12,3200,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-37,Treinos_10_12,3600,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-38,Treinos_10_12,4200,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-39,Treinos_10_12,3500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-40,Treinos_10_12,4000,8,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-41,Treinos_10_12,3400,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-42,Treinos_10_12,3500,6,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-43,Treinos_10_12,3400,7,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-44,Treinos_10_12,3600,5,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-45,Treinos_10_12,3800,4,already_exact_or_explicit_zero,EXACT_910_READY
RKF-10-12-46,Treinos_10_12,3200,6,already_exact_or_explicit_zero,EXACT_910_READY
