set_id,block_id,session_id,set_order,reps_parsed,distance_parsed_m,block_volume_m,block_type,prescription_text,zones,styles,materials,skills,atomization,source_fidelity
RKF-10-12-01-B01-S01,RKF-10-12-01-B01,RKF-10-12-01,1,4,50,600,Aquecimento,600: 200 livre + 4x50 estilos + 4x50 educativo,,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-01-B02-S01,RKF-10-12-01-B02,RKF-10-12-01,1,4,300,1200,Desenvolvimento,1200: 4x300 A1/A2 = 100 livre + 50 costas + 100 livre + 50 escolha,A2|A1,Livre/Crawl|Costas,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-01-B03-S01,RKF-10-12-01-B03,RKF-10-12-01,1,8,100,800,Desenvolvimento,800: 8x100 progressivos 1–4 (2x): A1 → A1/A2 → A2 → A2 forte técnico,A2|A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-01-B04-S01,RKF-10-12-01-B04,RKF-10-12-01,1,4,100,400,Desenvolvimento,400: 4x100 = 50 perna + 50 nado progressivo,,,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-01-B05-S01,RKF-10-12-01-B05,RKF-10-12-01,1,4,50,200,Desenvolvimento,200: 4x50 medley técnico,,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-01-B06-S01,RKF-10-12-01-B06,RKF-10-12-01,1,,,400,Regenerativo,400 regenerativo A1,A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-02-B01-S01,RKF-10-12-02-B01,RKF-10-12-02,1,,,600,Aquecimento,600 variado,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-02-B02-S01,RKF-10-12-02-B02,RKF-10-12-02,1,8,50,400,Desenvolvimento,400: 8x50 educativos dos quatro estilos,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-02-B03-S01,RKF-10-12-02-B03,RKF-10-12-02,1,4,100,1500,Desenvolvimento,"1500: 3x[4x100 perna + 100 nado A2 progressivo]; bloco 1 livre, bloco 2 costas, bloco 3 escolha",A2,Livre/Crawl|Costas,,Perna,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-02-B04-S01,RKF-10-12-02-B04,RKF-10-12-02,1,8,75,600,Desenvolvimento,600: 8x75 = 25 estilo + 25 livre + 25 estilo,,Livre/Crawl,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-02-B05-S01,RKF-10-12-02-B05,RKF-10-12-02,1,,,300,Regenerativo,300 regenerativo A1,A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-03-B01-S01,RKF-10-12-03-B01,RKF-10-12-03,1,,,600,Aquecimento,600 variado + técnica,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-03-B02-S01,RKF-10-12-03-B02,RKF-10-12-03,1,3,100,2400,Desenvolvimento,2400: 2x[400 A1 + 300 A2 + 200 A2 forte + 3x100 progressivos 1–3],A2|A1,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-03-B03-S01,RKF-10-12-03-B03,RKF-10-12-03,1,8,50,400,Desenvolvimento,400: 8x50 alternando 25 rápido/25 fácil,,,,,normalized_atomic_block,NORMALIZED_EXACT
RKF-10-12-03-B04-S01,RKF-10-12-03-B04,RKF-10-12-03,1,2,100,200,Desenvolvimento,200: 2x100 medley técnico,,Medley,,,normalized_atomic_block,NORMALIZED_EXACT
